image_id,scenario_group,gt,source_type,generation_model,generation_batch,prompt_group,seed,date,prompt,split
U22_02_010,U22_02,uncertain,ai_generated,TBD,V22_20260916,U22_02,20260926,2026-09-16,"Night, blur, or vehicle cutoff prevents reliable bay judgment.",DEV
U22_03_001,U22_03,uncertain,ai_generated,TBD,V22_20260916,U22_03,20260917,2026-09-16,Roadside marking and parking context remain ambiguous.,DEV
U22_03_002,U22_03,uncertain,ai_generated,TBD,V22_20260916,U22_03,20260918,2026-09-16,Roadside marking and parking context remain ambiguous.,VAL
U22_03_003,U22_03,uncertain,ai_generated,TBD,V22_20260916,U22_03,20260919,2026-09-16,Roadside marking and parking context remain ambiguous.,HOLDOUT
U22_03_004,U22_03,uncertain,ai_generated,TBD,V22_20260916,U22_03,20260920,2026-09-16,Roadside marking and parking context remain ambiguous.,DEV
U22_03_005,U22_03,uncertain,ai_generated,TBD,V22_20260916,U22_03,20260921,2026-09-16,Roadside marking and parking context remain ambiguous.,VAL
U22_03_006,U22_03,uncertain,ai_generated,TBD,V22_20260916,U22_03,20260922,2026-09-16,Roadside marking and parking context remain ambiguous.,HOLDOUT
U22_03_007,U22_03,uncertain,ai_generated,TBD,V22_20260916,U22_03,20260923,2026-09-16,Roadside marking and parking context remain ambiguous.,DEV
U22_03_008,U22_03,uncertain,ai_generated,TBD,V22_20260916,U22_03,20260924,2026-09-16,Roadside marking and parking context remain ambiguous.,VAL
U22_03_009,U22_03,uncertain,ai_generated,TBD,V22_20260916,U22_03,20260925,2026-09-16,Roadside marking and parking context remain ambiguous.,HOLDOUT
U22_03_010,U22_03,uncertain,ai_generated,TBD,V22_20260916,U22_03,20260926,2026-09-16,Roadside marking and parking context remain ambiguous.,DEV
